1	Hour(UTC)	Latitude	Longitude	Coordinates zone	Coordinates X	Coordinates Y	Depth	Magnitude	Origin	Dx(m)	Dy(m)	Dz(m)	Zone
200	47:58.0	30.00970914	-91.14310056	15N 	679092	3321313	198	-0.74	Located Shallow Event	30	70	40	TexasBrine				
201	03:11.2	30.00880983	-91.14394664	15N 	679012	3321212	180	-1.27	Located Shallow Event	10	70	40	TexasBrine				
202	49:03.1	30.00972742	-91.14247823	15N 	679152	3321316	158	-1.04	Located Shallow Event	20	40	40	TexasBrine				
203	01:01.7	30.01006408	-91.14267929	15N 	679132	3321353	100	-1.13	Located Shallow Event	90	60	60	TexasBrine				
204	23:34.3	30.00880715	-91.14311737	15N 	679092	3321213	142	-0.96	Located Shallow Event	30	80	50	TexasBrine				
205	09:05.2	30.00954019	-91.14455503	15N 	678952	3321292	240	-0.84	Located Shallow Event	30	110	20	TexasBrine				
206	38:51.5	30.01055432	-91.14225548	15N 	679172	3321408	220	-0.9	Located Shallow Event	40	100	40	TexasBrine				
207	32:21.4	30.00990148	-91.14330431	15N 	679072	3321334	160	-0.88	Located Shallow Event	50	90	10	TexasBrine				
208	24:50.1	30.00935736	-91.14310712	15N 	679092	3321274	120	-1.09	Located Shallow Event	50	90	50	TexasBrine				
209	21:51.6	30.00935127	-91.14331456	15N 	679072	3321273	120	-0.98	Located Shallow Event	60	60	40	TexasBrine				
210	17:55.9	30.00981762	-91.14247655	15N 	679152	3321326	100	-0.78	Located Shallow Event	60	70	50	TexasBrine				
211	46:39.5	30.00941441	-91.14331339	15N 	679072	3321280	181	-1.54	Located Shallow Event	30	70	40	TexasBrine				
212	41:17.9	30.01006408	-91.14267929	15N 	679132	3321353	80	-0.87	Located Shallow Event	90	60	20	TexasBrine				
213	42:12.4	30.01302625	-91.13713998	15N 	679661	3321690	160	-0.86	Located Shallow Event	100	50	20					
214	10:58.5	30.01318788	-91.13708512	15N 	679666	3321708	141	-0.94	Located Shallow Event	100	50	20					
215	07:09.2	30.01367062	-91.13041014	15N 	680309	3321772	1920	-0.26	Located Deep Event	90	250	100	deep				
216	52:07.3	30.01073996	-91.14070739	15N 	679321	3321431	140	-1.43	Located Shallow Event	70	60	10	TexasBrine				
217	49:45.6	30.00990377	-91.13580922	15N 	679795	3321346	917	-0.37	Located Deep Event	30	60	30	??????				
218	31:06.4	30.01802292	-91.12242852	15N 	681071	3322267	1091	0.16	Located Deep Event	120	270	150					
219	05:16.6	30.00948072	-91.14289749	15N 	679112	3321288	122	-1.41	Located Shallow Event	80	60	60	TexasBrine				
220	32:43.9	30.00900569	-91.14248131	15N 	679153	3321236	80	-1.06	Located Shallow Event	80	100	40	TexasBrine				
221	29:13.1	30.00892724	-91.14203702	15N 	679196	3321228	100	-0.9	Located Shallow Event	60	70	30	TexasBrine				
222	27:26.1	30.00969065	-91.14115199	15N 	679280	3321314	80	-1.51	Located Shallow Event	30	30	0	TexasBrine				
223	15:41.4	30.00922524	-91.14269492	15N 	679132	3321260	100	-1.29	Located Shallow Event	20	50	40	TexasBrine				
224	22:11.8	30.01089286	-91.14067343	15N 	679324	3321448	1761	0.06	Located Deep Event	130	130	120	TexasBrine				
