1-no,2-depth,3-lat,4-lon,5-maxampZ,6-maxampX,7-maxampY,8-slopZ,9-slopeX,10-slopeY,11-spectralcentZ,12-speccenX,13-speccentY,14-maximumfrequencyampZ,15-rec,16-az,17-dip,18-dd_re,19-dipp,20-DR,21-crossdeep,22-crossshallow,23-Otsu,24-cwtDEEP(meancc),25-cwtSHAL(meancc),26-cwtDEEP(pickcc),27-cwtSHAL(pickcc),28-semblanceDEEP,29-semblanceSHAL,class
52,40,30.009,-91.136,399.62,942.56,1620.8,4.5893,1.5553,3.4277,67.918,120.91,105.67,1.0234,0.71884,-48.754,63.095,0.64103,0.89176,0.0035942,0.14531,0.11008,121,0.067206,0.062663,202,174,0.4988,2933,deep
53,40,30.009,-91.136,551.53,450.88,652.32,4.1781,1.7328,5.0941,130.39,123.43,101.57,0.45147,0.89102,-44.149,25.353,0.38153,0.42819,-0.0044551,0.14749,0.097681,114,0.057994,0.053485,207,179,0.5058,2902,deep
54,40,30.009,-91.136,17928,22858,25689,87.419,103.41,109.5,96.745,110.72,95.426,27.722,0.94446,21.96,-4.1345,0.068094,0.072098,-0.0047223,0.13456,0.079045,116,0.066596,0.062976,215,254,0.7274,6034,deep
55,40,30.009,-91.136,355.18,588.01,399.02,2.2761,2.9589,2.203,103.84,107.81,101.73,0.46496,0.90773,-27.319,19.926,0.30937,0.34081,-0.0045387,0.13954,0.19923,97,0.074995,0.072607,204,178,0.5142,2941,deep
56,40,30.009,-91.136,13017,24947,24162,86.56,119.72,167.17,107.55,87.362,96.521,26.972,0.80508,67.378,2.2324,0.031361,0.038954,-0.0040254,0.12721,0.14897,101,0.07206,0.069301,202,256,0.5289,2978,deep
57,140,30.011,-91.143,14814,20262,12620,101.42,126.07,26.357,143.4,90.721,89.953,16.995,0.90549,39.459,5.5257,0.087191,0.096292,-0.0045274,0.18626,0.11571,118,0.067432,0.062445,201,172,0.5006,2275,deep
58,140,30.011,-91.143,473.77,477.12,638.84,2.816,3.0854,2.4315,91.371,109.01,84.783,0.70736,0.89674,-6.7779,-7.7453,0.12085,0.13477,-0.0044837,0.12766,0.27702,99,0.066315,0.065687,192,164,0.5114,4091,deep
59,140,30.011,-91.143,981.08,637.6,408.21,6.9636,5.0309,2.2184,122,116.57,127.59,0.78507,0.91173,9.984,15.192,0.23893,0.26206,-0.0045586,0.18128,0.072204,112,0.055167,0.051546,206,180,0.4879,3205,deep
60,140,30.011,-91.143,26256,37582,52627,71.344,193.27,323.42,78.979,107.9,107.93,61.764,0.96175,75.872,71.181,0.91034,0.94654,0.0048088,0.13541,0.19334,114,0.058014,0.056296,198,170,0.4901,2524,deep
61,140,30.011,-91.143,54409,34173,41714,366.71,205.34,332.81,85.188,108.98,89.044,42.54,0.93197,59.374,78.113,0.91199,0.97856,0.0046599,0.23897,0.15567,108,0.051691,0.046829,201,176,0.4948,3426,deep
